fixture_id,date,match_time,region_league,league_id,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,match_link,league_stage,last_updated
UsL5JZH5,,14:30,INDONESIA - Super League,Unknown,Borneo,Arema FC,dpH3oK85,nwyOlpIL,-,-,finished,https://www.flashscore.com/match/football/arema-fc-dpH3oK85/borneo-nwyOlpIL/?mid=UsL5JZH5,Unknown,2026-02-26T13:19:47.037417+00:00
YFRdLemg,,14:30,INDONESIA - Super League,Unknown,Persib Bandung,Madura United,6i1jCnP9,KpBjbPK1,-,-,finished,https://www.flashscore.com/match/football/madura-united-6i1jCnP9/persib-bandung-KpBjbPK1/?mid=YFRdLemg,Unknown,2026-02-26T13:19:47.037417+00:00
02TlNHIt,,14:30,INDONESIA - Super League,Unknown,Persita,Dewa United,IeUVbzhs,d0uFG5mk,-,-,finished,https://www.flashscore.com/match/football/dewa-united-IeUVbzhs/persita-d0uFG5mk/?mid=02TlNHIt,Unknown,2026-02-26T13:19:47.037417+00:00
vgklYxxg,,16:45,IRAN - Persian Gulf Pro League,Unknown,Tractor,Gol Gohar,vi9YQ6UT,IVy1ZyxH,-,-,finished,https://www.flashscore.com/match/football/gol-gohar-vi9YQ6UT/tractor-IVy1ZyxH/?mid=vgklYxxg,Unknown,2026-02-26T13:19:47.037417+00:00
2oUKYXXN,,19:30,IRAQ - Stars League,Unknown,Al Zawraa,Al Shorta,84r5OlNu,WWdfLQyB,-,-,finished,https://www.flashscore.com/match/football/al-shorta-84r5OlNu/al-zawraa-WWdfLQyB/?mid=2oUKYXXN,Unknown,2026-02-26T13:19:47.037417+00:00
ziPwCx3F,,19:30,IRAQ - Stars League,Unknown,Zakho,Al Gharraf,6ijwNYFs,YBFbLqQ4,-,-,finished,https://www.flashscore.com/match/football/al-gharraf-6ijwNYFs/zakho-YBFbLqQ4/?mid=ziPwCx3F,Unknown,2026-02-26T13:19:47.037417+00:00
EmYFfER8,,18:30,ISRAEL - Liga Alef North,Unknown,M. Kiryat Ata-Bialik,Hapoel Umm al-Fahm,pQNExaHR,YsuW1tSO,-,-,finished,https://www.flashscore.com/match/football/hapoel-umm-al-fahm-pQNExaHR/maccabi-kiryat-ata-bialik-YsuW1tSO/?mid=EmYFfER8,Unknown,2026-02-26T13:19:47.037417+00:00
vkGlzptf,,19:30,ISRAEL - Liga Alef North,Unknown,Beit Shean,MS Tira,p2R286ri,nybNr5zs,-,-,finished,https://www.flashscore.com/match/football/beit-shean-p2R286ri/ms-tira-nybNr5zs/?mid=vkGlzptf,Unknown,2026-02-26T13:19:47.037417+00:00
2c6J5oHs,,17:00,ISRAEL - Liga Alef South,Unknown,Hapoel Azor,Nordia Jerusalem,6Db80fop,hSctDSEa,-,-,finished,https://www.flashscore.com/match/football/beitar-nordia-jerusalem-6Db80fop/hapoel-azor-hSctDSEa/?mid=2c6J5oHs,Unknown,2026-02-26T13:19:47.037417+00:00
2XKt3gfU,,19:30,ISRAEL - Liga Alef South,Unknown,Shimshon Tel Aviv,Ramat Hasharon,tv2KcqX8,QNIKZx6d,-,-,finished,https://www.flashscore.com/match/football/ramat-hasharon-tv2KcqX8/shimshon-tel-aviv-QNIKZx6d/?mid=2XKt3gfU,Unknown,2026-02-26T13:19:47.037417+00:00
